Iteration,Random_Max,Random_Avg
499,0.369093,0.131612
500,0.369093,0.123450
501,0.369093,0.127180
502,0.369093,0.132027
503,0.369093,0.124954
504,0.369093,0.126684
505,0.369093,0.126796
506,0.369093,0.128708
507,0.369093,0.128944
508,0.369093,0.127799
509,0.369093,0.128147
510,0.369093,0.128808
511,0.369093,0.126129
512,0.369093,0.132238
513,0.369093,0.128473
514,0.369093,0.128855
515,0.369093,0.130897
516,0.369093,0.129834
517,0.369093,0.128095
518,0.369093,0.126891
519,0.369093,0.128691
520,0.369093,0.128167
521,0.369093,0.130266
522,0.369093,0.133214
523,0.369093,0.129807
524,0.369093,0.126109
525,0.369093,0.127557
526,0.369093,0.130302
527,0.369093,0.129901
528,0.369686,0.132132
529,0.369686,0.131046
530,0.369686,0.131280
531,0.369686,0.129061
532,0.369686,0.126477
533,0.369686,0.126623
534,0.369686,0.128706
535,0.369686,0.130489
536,0.369686,0.129152
537,0.369686,0.130333
538,0.369686,0.127897
539,0.369686,0.129196
540,0.369686,0.129136
541,0.369686,0.131009
542,0.369686,0.130815
543,0.369686,0.125773
544,0.369686,0.129640
545,0.369686,0.134384
546,0.369686,0.131727
547,0.369686,0.127692
548,0.369686,0.128176
549,0.369686,0.129098
550,0.369686,0.125386
551,0.369686,0.125638
552,0.369686,0.128027
553,0.369686,0.130088
554,0.369686,0.130395
555,0.369686,0.132003
556,0.369686,0.124197
557,0.369686,0.128855
558,0.369686,0.127357
559,0.369686,0.127644
560,0.369686,0.130021
561,0.369686,0.127878
562,0.369686,0.128368
563,0.369686,0.129208
564,0.369686,0.128740
565,0.369686,0.128162
566,0.369686,0.129176
567,0.369686,0.124957
568,0.369686,0.127948
569,0.369686,0.129392
570,0.369686,0.127547
571,0.369686,0.127182
572,0.371953,0.128774
573,0.371953,0.129968
574,0.371953,0.131031
575,0.371953,0.129746
576,0.371953,0.126727
577,0.371953,0.125480
578,0.371953,0.124748
579,0.371953,0.126496
580,0.371953,0.129859
581,0.371953,0.128525
582,0.371953,0.125508
583,0.371953,0.127811
584,0.371953,0.128900
585,0.371953,0.126901
586,0.371953,0.127018
587,0.371953,0.128917
588,0.371953,0.126454
589,0.371953,0.132718
590,0.371953,0.127096
591,0.371953,0.127926
592,0.371953,0.126116
593,0.371953,0.127034
594,0.371953,0.129658
595,0.371953,0.131252
596,0.371953,0.127298
597,0.371953,0.132615
598,0.371953,0.132177
599,0.371953,0.130301
600,0.371953,0.127734
601,0.371953,0.126787
602,0.371953,0.129824
603,0.371953,0.127641
604,0.371953,0.130114
605,0.371953,0.130477
606,0.371953,0.127555
607,0.371953,0.129011
608,0.371953,0.131579
609,0.371953,0.128068
610,0.371953,0.128079
611,0.371953,0.132770
612,0.371953,0.128246
613,0.371953,0.131230
614,0.371953,0.130677
615,0.371953,0.131532
616,0.371953,0.127168
617,0.371953,0.128730
618,0.371953,0.127443
619,0.371953,0.127903
